Activity,Individuals,Frequency
A384,P391/P225/P387/P242/P392/P146/P112/P321/P22/P322/P320/P148/P214/P95/P143/P280/P259/P300/P36/P261/P80/P254,4
A385,P280/P29/P22/P82,1
A386,P112/P80/P321/P143/P280/P387/P148/P17/P146/P214/P259/P261,4
A387,P11/P143/P269/P357/P343/P320/P148/P239/P60/P422/P203/P201/P425/P198/P95,1
A388,P387/P192/P307/P112/P22/P246/P419/P193/P369/P164/P95/P143/P42/P259/P261/P278/P373/P80/P343/P336/P23/P257,1
A389,P225/P357/P134/P387/P266/P187/P153/P392/P253/P383/P63/P323/P422/P24/P10/P143/P280/P82/P169/P100/P11/P80/P254/P29/P343/P351/P137/P257,1
A390,P340/P11/P357/P189/P320,1
A391,P403/P80/P227,12
A392,P259/P181/P80,12
A393,P391/P398/P311/P261,4
A394,P80/P398/P311/P259/P261,1
A395,P259/P398,1
A396,P259/P261/P311,4
A397,P259/P398/P311/P412,1
A398,P259/P36/P82/P398,1
A399,P259/P398/P261,12
A400,P391/P143/P387/P22/P261/P43/P311/P82/P412/P259/P146,12
A401,P261/P311,4
A402,P261/P311,4
A403,P391/P143/P29/P387/P22/P261/P43/P311/P347/P82/P412/P259/P392/P146,1
A404,P261/P311,12
A405,P29/P43/P311/P347/P412/P259/P392/P261,12
A406,P261/P143,4
A407,P82/P261/P311,4
A408,P261/P311,4
A409,P143/P269/P239/P201/P198,12
A410,P357/P325/P173/P153/P20/P320/P403/P235/P377/P24/P143/P280/P88/P259/P36/P188/P80/P351/P239/P201/P257/P198,1
A411,P269/P357/P20/P320/P60/P425/P377/P143/P11/P80/P343/P239/P257/P198,1
A412,P239/P20/P280,4
A413,P80/P143/P343/P20/P320/P239,4
A414,P11/P24/P80/P357/P343/P20/P320/P239,1
A415,P325/P82,1
A416,P188/P329/P265/P387/P138/P154/P61/P231/P415/P318,4
A417,P188/P329/P265/P387/P343/P416/P138/P154/P61/P231/P415/P318,4
A418,P168/P225/P249/P387/P242/P187/P22/P229/P47/P74/P12/P280/P143/P204/P236/P82/P188/P417/P215/P80,1
A419,P387/P154,1
A420,P153/P387,1
A421,P188/P265/P331/P387/P245/P385/P61/P415/P318,45
A422,P297/P209/P128/P296/P91/P72/P68/P352/P192/P277/P181/P67/P208/P243/P148/P328/P327/P87/P114/P58/P312/P258/P46/P199/P143/P264/P349/P397/P278/P355/P39/P427/P158/P367/P116/P190/P93/P30/P109/P341/P342,1
A423,P297/P128/P296/P228/P91/P72/P241/P352/P192/P181/P67/P208/P243/P410/P103/P237/P148/P87/P114/P58/P312/P258/P46/P143/P280/P26/P264/P349/P338/P397/P278/P355/P39/P427/P158/P367/P116/P93/P109/P341/P342/P290,1
A424,P297/P128/P296/P228/P91/P72/P352/P192/P213/P174/P181/P67/P208/P243/P346/P410/P328/P87/P48/P114/P58/P376/P312/P258/P46/P199/P143/P26/P264/P349/P397/P278/P355/P39/P427/P158/P367/P116/P190/P109/P341/P342/P290,1
A425,P297/P128/P296/P91/P72/P352/P192/P181/P67/P208/P243/P346/P103/P237/P328/P240/P327/P87/P48/P105/P114/P312/P258/P46/P199/P143/P26/P264/P349/P397/P308/P278/P355/P39/P427/P367/P190/P116/P93/P30/P109/P341/P342/P290,1
A426,P297/P128/P296/P228/P91/P72/P241/P352/P192/P67/P346/P243/P103/P237/P148/P328/P327/P48/P105/P58/P114/P258/P46/P199/P143/P280/P26/P264/P338/P397/P278/P355/P39/P427/P367/P190/P116/P93/P30/P109/P341/P342/P290,1
A427,P297/P209/P128/P228/P133/P91/P72/P241/P313/P352/P192/P270/P243/P103/P237/P328/P327/P87/P58/P312/P258/P46/P143/P280/P264/P349/P338/P397/P278/P190/P39/P116/P30/P109/P341/P342/P290,1
A428,P297/P209/P128/P296/P228/P91/P72/P241/P352/P192/P174/P67/P346/P243/P410/P103/P237/P148/P328/P327/P114/P58/P312/P46/P199/P143/P280/P264/P338/P397/P278/P355/P39/P427/P158/P190/P116/P93/P30/P109/P341/P342/P290,1
A429,P297/P128/P228/P91/P72/P241/P352/P192/P67/P346/P243/P410/P103/P148/P328/P240/P327/P48/P114/P58/P46/P199/P143/P264/P338/P203/P397/P278/P363/P39/P190/P116/P109/P341/P342/P290,1
A430,P128/P296/P228/P91/P72/P352/P192/P213/P174/P67/P346/P243/P410/P103/P237/P328/P48/P114/P312/P258/P46/P199/P143/P280/P26/P349/P397/P355/P427/P190/P367/P116/P93/P30/P109/P341/P342/P290,1
A431,P297/P209/P296/P228/P91/P72/P241/P352/P192/P67/P208/P243/P346/P410/P103/P237/P148/P328/P327/P87/P48/P114/P258/P46/P199/P143/P280/P26/P264/P349/P338/P397/P278/P355/P427/P190/P367/P116/P93/P30/P109/P341/P342/P290,1
